A,B,result
Partial differential equation,hypothesis testing,0
Finite difference,Eigenvalues and eigenvectors,1
Differential equation,Game theory,0
Time complexity,Theoretical computer science,1
Database,Central processing unit,1
ML (programming language),Data structure,1
Model checking,Number theory,1
Dynamic memory allocation,Statistical inference,0
Propositional calculus,Data,0
MapReduce,Time complexity,1
Linked list,Microcode,0
Computer vision,Image processing,1
Coding theory,Theoretical computer science,1
Automatic programming,"Best, worst and average case",0
Autonomous robot,Asymptotic analysis,0
Propositional calculus,Data (computing),0
Decision theory,High-level programming language,0
Fourier analysis,Polynomial,1
Regular language,Formal methods,0
High-level programming language,User interface design,0
Concurrency control,Poisson distribution,0
NP-complete,Computational problem,1
User interface,Computational complexity theory,1
Partial differential equation,Computer simulation,0
Large deviations theory,Web browser,0
Compiler,Probability theory,0
Knowledge representation and reasoning,Discrete mathematics,1
Programming style,Personal computer,0
Arithmetic logic unit,Combinational logic,1
Spanning tree,Query optimization,0
Interactivity,Number theory,1
Sentiment analysis,Algorithm design,1
Central processing unit,Tensor,0
C (programming language),Computational science,1
Image analysis,Packet switching,0
Variable (computer science),Recursively enumerable set,0
Programming style,Ordinary differential equation,0
Data warehouse,Data,1
System programming,Computational complexity theory,1
hypothesis testing,Run time (program lifecycle phase),0
Scripting language,Logic,1
Part-of-speech tagging,Microprocessor,0
Ray tracing (graphics),Linear system,0
Scientific visualization,Personal computer,1
Lock (computer science),MATLAB,0
Social network,Model checking,0
User interface design,Graphics,0
Object-oriented programming,Foundations of mathematics,1
Coding theory,Bioinformatics,0
Formal methods,Probability theory,1
Database transaction,Database,0
Semidefinite programming,Matrix (mathematics),1
Pattern matching,Cryptanalysis,0
Complexity class,Abstraction (computer science),1
Computer programming,Data,1
Coding theory,Discrete mathematics,1
Web search engine,Distributed algorithms,0
Economics,Iterative method,0
Mutual exclusion,Instruction set,0
Computational complexity theory,Computational problem,1
Analysis of algorithms,Mathematical induction,1
Halting problem,Theory of computation,1
Spanning tree,Image analysis,0
Database management system,ML (programming language),0
Denotational semantics,Computer programming,1
Lexical analysis,Regular expression,1
Compiler optimization,Computer,1
Interpolation,Sequence alignment,0
Mathematical model,Cloud computing,0
Memory hierarchy,Pattern matching,0
Document classification,Foundations of mathematics,1
Data type,Message passing,0
Kinematics,Web search engine,0
Computational complexity theory,Mathematical proof,1
Martingale (probability theory),Expected value,1
Cloud computing,Relational database,0
Dynamic programming,Programmer,0
PageRank,Programming style,0
Parallel algorithm,Theoretical computer science,1
Firewall (computing),Compiler,0
Linear programming,Iterative method,1
Natural language,Design pattern (computer science),0
Packet switching,Randomized algorithm,0
Reinforcement learning,Profiling (computer programming),0
Virtual memory,Computer programming,1
Random variable,Functional programming,0
Turing machine,Discrete mathematics,1
Floating point,Computer multitasking,0
Embedded system,Arithmetic,1
Web service,Human-computer interaction,0
Kinematics,Mathematical induction,0
Reinforcement learning,Interactivity,0
Speech recognition,Foundations of mathematics,1
Unix,Computing,1
Recursion,Algorithm,1
Artificial intelligence,Algorithm design,1
Recursion (computer science),Algorithm,1
World Wide Web,Automata theory,0
Java (programming language),Computer,1
Software engineering,Computation,1
Pipeline (computing),Computer programming,0
NP-complete,System call,0
Amortized analysis,Concurrent computing,0
Run time (program lifecycle phase),Sequence alignment,0
Rendering (computer graphics),Queue (data structure),0
Software development,Data structure,1
Polymorphism (computer science),Thread (computer science),0
Lisp (programming language),Game theory,0
User interface,Scalability,0
Central processing unit,Autonomous robot,0
Data warehouse,Computer science,1
Recursively enumerable set,Algorithm,1
Algorithm design,Turing machine,1
Regular expression,Iterative method,0
Semidefinite programming,Natural language processing,0
Iterative method,Numerical analysis,1
Haskell (programming language),Logic,1
Computational science,Web server,0
Firewall (computing),Mathematics,1
Amortized analysis,Amortized analysis,0
Shared memory,Formal grammar,0
Graph coloring,Computer science,1
NP-complete,Combinatorics,1
Image analysis,Number theory,1
Kalman filter,Cryptanalysis,0
Numerical analysis,Mathematics,1
Recommender system,Python (programming language),0
Concurrency control,Fourier analysis,0
SQL,Data,1
Cryptanalysis,Inference,0
Hidden line removal,Problem solving,1
Deadlock,Computer,1
Model of computation,Linear algebra,0
Higher-order function,Firewall (computing),0
Perl,Integral,0
Sentiment analysis,Partial differential equation,0
Mobile device,Program optimization,0
Lazy evaluation,Programming language,1
Computer software,Multi-core processor,0
Recursion,Scripting language,0
Memory hierarchy,System programming,0
Random walk,Probability theory,1
Computational complexity theory,Time complexity,0
Formal methods,Image processing,0
Robot,Support vector machine,0
Parallel algorithm,Fast Fourier transform,0
Software development,Computational science,1
Robotics,Geometry,0
Lexical analysis,Foundations of mathematics,1
Concurrency (computer science),Lock (computer science),1
Distributed computing,Communications protocol,1
Markov process,Abstract data type,0
Recursion,Computational problem,0
Inter-process communication,PSPACE,0
Complexity class,Entropy,0
Lisp (programming language),Round-off error,0
Flow network,Generic programming,0
Quantum cryptography,Linked list,0
Combinational logic,Expected value,0
Computer graphics,Recursion (computer science),0
Computer architecture,Graph theory,1
Virtual reality,Geometry,1
Programming language,Algorithm,1
Computer animation,Array data structure,0
Distributed algorithms,Iterative method,1
Computer programming,Image processing,0
Debugging,Logic,1
Virtual reality,Computer graphics,1
Packet switching,Dynamic programming,0
Ordinary differential equation,"Best, worst and average case",0
Vector processor,Computing,1
Computer security,Vector processor,0
Mathematical optimization,Integer,1
Deadlock,Random variable,0
Kalman filter,Lexical analysis,0
Numerical analysis,Scope (computer science),0
Motion capture,Computer science,1
Mobile device,Multiplication,0
Computer graphics,Data,1
Reinforcement learning,Reason,1
Superscalar,Parallel computing,1
Data mining,Regular language,0
C++,Approximation algorithm,0
Information theory,Random variable,1
Cryptography,Modular arithmetic,1
Distributed algorithms,Discrete mathematics,1
Imperative programming,Scope (computer science),1
Abstraction (computer science),Computing,1
Information theory,Algebra,1
Denotational semantics,Question answering,0
Mathematical optimization,Mathematics,1
Undecidable problem,Computer,1
Logic programming,Data structure,1
Profiling (computer programming),Mathematics,1
Query language,Data structure,1
Discrete mathematics,C (programming language),0
Symbol table,Computer programming,1
3D modeling,Computer science,1
Numerical analysis,Matrix (mathematics),1
Image analysis,Server (computing),0
Semantics of programming languages,Automata theory,1
Floating point,Finite difference,0
Traffic analysis,Information security,1
Complexity class,Computer science,1
Database system,Recursion,0
Operating system,Arithmetic,1
Algorithm,Discrete mathematics,1
Visualization (computer graphics),Suffix tree,0
Ray tracing (graphics),Continuous function,0
Knowledge representation and reasoning,Abstraction (computer science),1
Analysis of algorithms,Arithmetic,1
Feature extraction,Discrete mathematics,1
Linear programming,Arithmetic,1
Automatic programming,Logic,1
Scientific visualization,Linear programming,0
Bioinformatics,Iterative method,1
Computational geometry,Computational science,1
User interface design,Central processing unit,0
Graphical user interface,Discrete mathematics,1
Context-free language,"Best, worst and average case",0
Graph coloring,Logic programming,0
Calculus of variations,Information security,0
Malware,MapReduce,0
Sequence alignment,Data warehouse,0
Security,Scope (computer science),0
Support vector machine,Discrete mathematics,1
Scheduling (computing),3D computer graphics,0
Concurrency (computer science),Discrete mathematics,1
Stochastic process,Graphical model,0
C (programming language),NP (complexity),0
Cloud computing,Data (computing),1
Analysis of algorithms,Very long instruction word,0
Turing machine,Shading,0
Software development,Computer,1
Logic programming,Graph theory,1
MATLAB,Debugging,0
Hidden line removal,Algorithm,1
Context-free grammar,Automata theory,0
System programming,Computing,1
Computational complexity theory,Polynomial,1
Control flow,Automata theory,1
Mathematical optimization,C (programming language),0
Unix,Uncertainty,0
Mobile device,Computer security,0
Virtual reality,Computer,1
Pattern recognition,Uncertainty,1
Random walk,Computational science,1
Polynomial,Stochastic,0
C++,System call,0
Recommender system,Expected value,1
Support vector machine,Synchronization,0
Memory management,Central processing unit,1
Authentication,Graph (mathematics),0
Ray tracing (graphics),Personal computer,1
Server (computing),Authentication,0
PageRank,Abstraction (computer science),0
Large deviations theory,Markov chain,0
Randomization,Relational database,0
Virtual reality,Scope (computer science),0
Array data structure,Ray tracing (graphics),0
Cryptanalysis,Integer,1
World Wide Web,Query language,0
Complexity class,Algorithm design,1
Random variable,Computational problem,0
